Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
A Forecasting Approach to Cryptocurrency Price Index Using Reinforcement Learning,"Mariappan, L.T.; Pandian, J.A.; Kumar, V.D.; Geman, O.; Chiuchisan, I.; Năstase, C.",,2023,,Applied Sciences (Switzerland),13,4,,,10.3390/app13042692,,#337,Mariappan 2023,Exclusion reason: Insufficient Quality; ,Financial Application
Deep Equal Risk Pricing of Financial Derivatives with Non-Translation Invariant Risk Measures †,"Carbonneau, A.; Godin, F.",,2023,,Risks,11,8,,,10.3390/risks11080140,,#342,Carbonneau 2023,Exclusion reason: Does not address research questions; ,""
Latent Segmentation of Stock Trading Strategies Using Multi-Modal Imitation Learning,"Maeda, I.; deGraw, D.; Kitano, M.; Matsushima, H.; Izumi, K.; Sakaji, H.; Kato, A.",,2020,,Journal of Risk and Financial Management,13,11,,,10.3390/jrfm13110250,,#350,Maeda 2020,Exclusion reason: Does not address research questions; ,""
Equal risk pricing of derivatives with deep hedging,"Carbonneau, A.; Godin, F.",,2021,,Quantitative Finance,21,4,593-608,,10.1080/14697688.2020.1806343,,#357,Carbonneau 2021,Exclusion reason: Does not address research questions; ,""
I2RL: online inverse reinforcement learning under occlusion,"Arora, S.; Doshi, P.; Banerjee, B.",,2021,,Autonomous Agents and Multi-Agent Systems,35,1,,,10.1007/s10458-020-09485-4,,#366,Arora 2021,Exclusion reason: Does not address research questions; ,""
On parametric optimal execution and machine learning surrogates,"Chen, T.; Ludkovski, M.; Voß, M.",,2023,,Quantitative Finance,24,1,15-34,,10.1080/14697688.2023.2282657,,#371,Chen 2023,Exclusion reason: Does not address research questions; ,Financial Application
A generic methodology for the statistically uniform & comparable evaluation of Automated Trading Platform components,"Sokolovsky, A.; Arnaboldi, L.",,2023,,Expert Systems with Applications,223,,,,10.1016/j.eswa.2023.119836,,#372,Sokolovsky 2023,Exclusion reason: Does not address research questions; ,Benchmarking
Curriculum Goal-Conditioned Imitation for Offline Reinforcement Learning,"Feng, X.; Jiang, L.; Yu, X.; Xu, H.; Sun, X.; Wang, J.; Zhan, X.; Chan, W.K.",,2022,,IEEE Transactions on Games,16,1,102-112,,10.1109/TG.2022.3224088,,#374,Feng 2022,Exclusion reason: Does not address research questions; ,New Model; Pre-training / Transfer Learning
Optimal Execution of a Basket of Stocks under Regime-Switching Model Using Reinforcement Learning,"Pemy, M.; Zhang, N.",,2024,,Journal of Financial Data Science,6,4,72-85,,10.3905/jfds.2024.1.167,,#379,Pemy 2024,Exclusion reason: Full-text not available; ,Financial Application
Enhancing profit from stock transactions using neural networks,"Roy Choudhury, A.; Abrishami, S.; Turek, M.; Kumar, P.",,2020,,AI Communications,33,2,75-92,,10.3233/AIC-200629,,#389,RoyChoudhury 2020,Exclusion reason: Does not address research questions; ,Financial Application
