Volatility Target,Horizon,Sample,Return,Volatility,Sharpe
0.16,5Y,In-sample (2013–2023),0.04141784640246791,0.16049953072681486,0.258055872281427
0.16,10Y,In-sample (2013–2023),0.05550643526222599,0.16021567465856937,0.34644821975449047
0.16,5Y,Out-of-sample (2024),0.10372875505279693,0.10360844974348696,1.001161153454258
0.16,10Y,Out-of-sample (2024),-0.0961582188139287,0.13113112358685888,-0.7332982146701065
0.2,5Y,In-sample (2013–2023),0.01817694996908392,0.2005545195074536,0.09063345973815551
0.2,10Y,In-sample (2013–2023),0.027588238874000366,0.20082868887674155,0.13737200112346812
0.2,5Y,Out-of-sample (2024),-0.36429430666745166,0.178634981116871,-2.0393223342359468
0.2,10Y,Out-of-sample (2024),-0.6001025719839471,0.2586680096585484,-2.319972124794656
0.25,5Y,In-sample (2013–2023),-0.04144455439973543,0.2519177449858662,-0.16451621699797553
0.25,10Y,In-sample (2013–2023),-0.012079950290495193,0.2509567738212688,-0.04813558170419629
0.25,5Y,Out-of-sample (2024),-0.6916232346750084,0.3018886255067917,-2.2909880540015535
0.25,10Y,Out-of-sample (2024),-0.93465743943688,0.3894531226662332,-2.3999228277799545
0.3,5Y,In-sample (2013–2023),-0.12898443225219158,0.30180384392979415,-0.4273783612981286
0.3,10Y,In-sample (2013–2023),-0.0778512544119816,0.300638630299754,-0.25895293074732084
0.3,5Y,Out-of-sample (2024),-0.9985034117446311,0.42170372945796847,-2.367784162184301
0.3,10Y,Out-of-sample (2024),-1.0523395399112825,0.5327217917923537,-1.9754017127226275
Benchmark,Equal-weight,In-sample 5Y,0.18539828638275457,0.22816214597586224,0.8125725044783206
Benchmark,Equal-weight,In-sample 10Y,0.1562601029103369,0.1945574041204702,0.8031568041151517
Benchmark,Equal-weight,Out-of-sample (2024),0.1451095585246338,0.11625194071560824,1.2482334284605288
