"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"DLBWFHWH","journalArticle","2024","Salman, D.; Elmi, Y.K.; Isak, A.M.; Siyad, A.A.","Analyzing the Impact of Environmental Factors on Solar Power Output Using Explainable Deep Learning Techniques","SSRG. Int. J. Electron. Commun. Eng.","","","10.14445/23488549/IJECE-V11I10P110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209105207&doi=10.14445%2f23488549%2fIJECE-V11I10P110&partnerID=40&md5=f40b9a7647daf78b5fc12d921104c169","An advanced prediction of power generation is necessary for renewable systems to achieve optimal efficiency and output. This paper explores advanced deep learning models: Long Short-Term Memory (LSTM), 1D Convolutional Neural Network (1D-CNN), and a combined LSTM-1DCNN model to predict output solar power using historical time series climatic data. The feature consists of the main characteristics, namely temperature, air pressure, sun radiation, and humidity of the solar power. Several evaluation metrics were used to better assess each model's performance and the extent to which it has addressed research questions. The best model that showed high accuracy and good generalization of the output data was chosen as the LSTM-1DCNN hybrid model. Regarding the projections, each feature's contribution was evaluated using SHAP values with the ""SHAP"" package. The analysis carried out by the study revealed that models were influenced most by sun radiation. As the three models are analyzed, the call for multiple deep-learning techniques increases the forecast level. This paper focuses on the potential of using hybrid deep learning models to enhance the accuracy of the power output predictions while, by SHAP analysis, underlining the requirement for the model explainability. However, such work offers significant viewpoints and room for other developments that can use more prominent datasets and elaborate details. However, the results also highlight the areas to learn about the possibility of increasing the reliability and interpretability of the model's outcomes while underlining the necessity to apply advanced modelling approaches to optimize energy systems. © 2024 Seventh Sense Research Group®.","2024","2025-02-27 12:27:54","2025-02-27 12:27:54","","119-134","","10","11","","SSRG. Int. J. Electron. Commun. Eng.","","","","","","","","","","","","","","","Publisher: Seventh Sense Research Group","","/Users/jensreil/Zotero/storage/IB3NMR4D/Salman et al. - 2024 - Analyzing the Impact of Environmental Factors on Solar Power Output Using Explainable Deep Learning.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"373I5LWG","journalArticle","2024","Schneider, M.; Greifzu, N.; Wang, L.; Walther, C.; Wenzel, A.; Li, P.","An end-to-end machine learning approach with explanation for time series with varying lengths","Neural Comput. Appl.","","","10.1007/s00521-024-09473-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185244418&doi=10.1007%2fs00521-024-09473-9&partnerID=40&md5=216c04de80c975bcbd5914fddbe485d7","An accurate prediction of complex product quality parameters from process time series by an end-to-end learning approach remains a significant challenge in machine learning. A special difficulty is the application of industrial batch process data because many batch processes generate variable length time series. In the industrial application of such methods, explainability is often desired. In this study, a 1D convolutional neural network (CNN) algorithm with a masking layer is proposed to solve the problem for time series of variable length. In addition, a novel combination of 1D CNN and class activation mapping (CAM) technique is part of this study to better understand the model results and highlight some regions of interest in the time series. As a comparative state-of-the-art unsupervised machine learning method, the One-Nearest Neighbours (1NN) algorithm combined with dynamic time warping (DTW) was used. Both methods are investigated as end-to-end learning methods with balanced and unbalanced class distributions and with scaled and unscaled input data, respectively. The FastDTW and DTAIDistance algorithms were investigated for the DTW calculation. The data set is made up of sensor signals that was collected during the production of plastic parts. The objective was to predict a quality parameter of plastic parts during production. For this research, the quality parameter will be a difficult or only destructively measurable parameter and both methods will be investigated for their applicability to this prediction task. The application of the proposed approach to an industrial facility for producing plastic products shows a prediction accuracy of 83.7%. It can improve the reverence method by approximately 1.4%. In addition to the slight increase in accuracy, the CNN training time was significantly reduced compared to the DTW calculation. © The Author(s) 2024.","2024","2025-02-27 12:27:54","2025-02-27 12:27:54","","7491-7508","","13","36","","Neural Comput. Appl.","","","","","","","","","","","","","","","Publisher: Springer Science and Business Media Deutschland GmbH","","/Users/jensreil/Zotero/storage/JFNIW2V8/Schneider et al. - 2024 - An end-to-end machine learning approach with explanation for time series with varying lengths.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8CVQ24JV","journalArticle","2024","Kim, J.; Kim, T.","Two-pathway spatiotemporal representation learning for extreme water temperature prediction","Eng Appl Artif Intell","","","10.1016/j.engappai.2023.107718","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182415275&doi=10.1016%2fj.engappai.2023.107718&partnerID=40&md5=817d0486ab480113d565cbb65945e61c","Accurate predictions of extreme water temperatures are criticalto understanding the variability of the marine environment and reducing marine disasters maximized by global warming. In this study, we propose a two-pathway framework with separated spatial and temporal encoders for accurate prediction of water temperature, especially extremely high water temperature, through effective spatiotemporal representation learning. The spatial and temporal encoder networks based on the Transformer's self-attention mechanism performs the task of predicting the water temperature time series at the 16 coastal locations around the Korean Peninsula for the seven consecutive days ahead at daily intervals with various combinations of patch embedding methods, positional embedding for spatial features. Comparative experiments with conventional deep convolutional and recurrent networks are also conducted for comparison. By comparing and assessing these results, the proposed two-pathway framework can improve the predictability of extremely high coastal water temperature by better capturing spatiotemporal interrelationships and long-range dependencies from open ocean and regional sea, and further determines the optimal architectural details of self-attention-based spatial and temporal encoders. Furthermore, to examine the explainability of the proposed model and its consistency with domain knowledge, spatial and temporal attention maps are visualized and analyzed that represents weights for spatiotemporal input sequences that are more relevant to predict for future predictions. © 2023 Elsevier Ltd","2024","2025-02-27 12:27:54","2025-02-27 12:27:54","","","","","131","","Eng Appl Artif Intell","","","","","","","","","","","","","","","Publisher: Elsevier Ltd","","/Users/jensreil/Zotero/storage/JV8ELE2W/Kim and Kim - 2024 - Two-pathway spatiotemporal representation learning for extreme water temperature prediction.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XETGG9M6","journalArticle","2024","Sweidan, J.; El-Yacoubi, M.A.; Rigaud, A.-S.","Explainability of CNN-based Alzheimer’s disease detection from online handwriting","Sci. Rep.","","","10.1038/s41598-024-72650-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205276201&doi=10.1038%2fs41598-024-72650-2&partnerID=40&md5=1b38496c54207fc807d8394d02eddbdd","With over 55 million people globally affected by dementia and nearly 10 million new cases reported annually, Alzheimer’s disease is a prevalent and challenging neurodegenerative disorder. Despite significant advancements in machine learning techniques for Alzheimer’s disease detection, the widespread adoption of deep learning models raises concerns about their explainability. The lack of explainability in deep learning models for online handwriting analysis is a critical gap in the literature in the context of Alzheimer’s disease detection. This paper addresses this challenge by interpreting predictions from a Convolutional Neural Network applied to multivariate time series data, generated by online handwriting data associated with continuous loop series handwritten on a graphical tablet. Our explainability methods reveal distinct motor behavior characteristics for healthy individuals and those diagnosed with Alzheimer’s. Healthy subjects exhibited consistent, smooth movements, while Alzheimer’s patients demonstrated erratic patterns marked by abrupt stops and direction changes. This emphasizes the critical role of explainability in translating complex models into clinically relevant insights. Our research contributes to the enhancement of early diagnosis, providing significant and reliable insights to stakeholders involved in patient care and intervention strategies. Our work bridges the gap between machine learning predictions and clinical insights, fostering a more effective and understandable application of advanced models for Alzheimer’s disease assessment. © The Author(s) 2024.","2024","2025-02-27 12:27:54","2025-02-27 12:27:54","","","","1","14","","Sci. Rep.","","","","","","","","","","","","","","","Publisher: Nature Research","","/Users/jensreil/Zotero/storage/I4G82M9Z/Sweidan et al. - 2024 - Explainability of CNN-based Alzheimer’s disease detection from online handwriting.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KM5L7YA8","journalArticle","2025","Gholian, S.M.; Fiandrino, C.; Vallina-Rodriguez, N.; Fiore, M.; Widmer, A.J.","DeExp: Revealing Model Vulnerabilities for Spatio-Temporal Mobile Traffic Forecasting with Explainable AI","IEEE Trans. Mob. Comput.","","","10.1109/TMC.2025.3531544","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216247870&doi=10.1109%2fTMC.2025.3531544&partnerID=40&md5=6bf20ea0825711fef7ff1b3ccc088e30","The ability to perform mobile traffic forecasting effectively with (DNN) is instrumental to optimize resource management in 5G and beyond generation mobile networks. However, despite their capabilities, these DNNs often act as complex opaque-boxes with decisions that are difficult to interpret. Even worse, they have proven vulnerable to adversarial attacks which undermine their applicability in production networks. Unfortunately, although existing state-of-the-art EXplainable Artificial Intelligence (XAI) techniques are often demonstrated in computer vision and Natural Language Processing (NLP), they may not fully address the unique challenges posed by spatio-temporal time-series forecasting models. To address these challenges, we introduce DeExp in this paper, a tool that flexibly builds upon legacy XAI techniques to synthesize compact explanations by making it possible to understand which Base Stations (BSs) are more influential for forecasting from a spatio-temporal perspective. Armed with such knowledge, we run state-of-the-art Adversarial Machine Learning (AML) techniques on those BSs to measure the accuracy degradation of the predictors under adversarial attacks. Our comprehensive evaluation uses real-world mobile traffic datasets and demonstrates that legacy XAI techniques spot different types of vulnerabilities. While Gradient-weighted Class Activation Mapping (GC) is suitable to spot BSs sensitive to moderate/low traffic injection, LayeR-wise backPropagation (LRP) is suitable to spot BSs sensitive to moderate/low traffic injection, LayeR-wise backPropagation (LRP) is suitable to identify BSs sensitive to high traffic injection. Under moderate adversarial attacks, the prediction error of the BSs identified as vulnerable can increase by more than 250%.  © 2025 IEEE.","2025","2025-02-27 12:27:54","2025-02-27 12:27:54","","","","","","","IEEE Trans. Mob. Comput.","","","","","","","","","","","","","","","Publisher: Institute of Electrical and Electronics Engineers Inc.","","/Users/jensreil/Zotero/storage/8LGFQYYZ/Gholian et al. - 2025 - DeExp Revealing Model Vulnerabilities for Spatio-Temporal Mobile Traffic Forecasting with Explainab.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EE3SXTK7","journalArticle","2025","Troncoso-Garcia, A.R.; Martinez-Ballesteros, M.; Martinez-Alvarez, F.; Troncoso, A.","A new metric based on association rules to assess feature-attribution explainability techniques for time series forecasting","IEEE Trans Pattern Anal Mach Intell","","","10.1109/TPAMI.2025.3540513","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217807341&doi=10.1109%2fTPAMI.2025.3540513&partnerID=40&md5=629150f2ecc184b9266debee7beb347d","This paper introduces a new, model-independent, metric, called RExQUAL, for quantifying the quality of explanations provided by attribution-based explainable artificial intelligence techniques and compare them. The underlying idea is based on feature attribution, using a subset of the ranking of the attributes highlighted by a model-agnostic explainable method in a forecasting task. Then, association rules are generated using these key attributes as input data. Novel metrics, including global support and confidence, are proposed to assess the joint quality of generated rules. Finally, the quality of the explanations is calculated based on a wise and comprehensive combination of the association rules global metrics. The proposed method integrates local explanations through attribution-based approaches for evaluation and feature selection with global explanations for the entire dataset. This paper rigorously evaluates the new metric by comparing three explainability techniques: the widely used SHAP and LIME, and the novel methodology RULEx. The experimental design includes predicting time series of different natures, including univariate and multivariate, through deep learning models. The results underscore the efficacy and versatility of the proposed methodology as a quantitative framework for evaluating and comparing explainable techniques. © 1979-2012 IEEE.","2025","2025-02-27 12:27:54","2025-02-27 12:27:54","","","","","","","IEEE Trans Pattern Anal Mach Intell","","","","","","","","","","","","","","","Publisher: IEEE Computer Society","","/Users/jensreil/Zotero/storage/ZJY9UM8P/Troncoso-Garcia et al. - 2025 - A new metric based on association rules to assess feature-attribution explainability techniques for.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FPZLU5GG","journalArticle","2025","Ndao, M.L.; Youness, G.; Niang, N.; Saporta, G.","Improving predictive maintenance: Evaluating the impact of preprocessing and model complexity on the effectiveness of eXplainable Artificial Intelligence methods","Eng Appl Artif Intell","","","10.1016/j.engappai.2025.110144","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216472317&doi=10.1016%2fj.engappai.2025.110144&partnerID=40&md5=aff348b968204843da69487983a561b8","Due to their performance in this field, Long-Short-Term Memory Neural Network (LSTM) approaches are often used to predict the remaining useful life (RUL). However, their complexity limits the interpretability of their results. So, eXplainable Artificial Intelligence (XAI) methods are used to understand the relationship between the input data and the predicted RUL. Modeling involves making choices, such as preprocessing strategies or model complexity. Understanding how these modeling choices affect the effectiveness of XAI methods is crucial. This paper investigates the impact of two modeling aspects: preprocessing multivariate time series and model complexity, precisely the number of hidden layers, on the quality of the explanations provided by three XAI post-hoc local agnostic methods (Local Interpretable Model-Agnostic Explanations (LIME), SHapley Additive exPlanations (SHAP), and Learning to eXplain (L2X) in the context of the RUL prediction. The quality of the XAI methods is evaluated using eleven metrics, categorized under five properties based on the definitions of interpretability and explainability. Experiments on the C-MAPSS dataset for aero-engine prognostics demonstrate that SHAP often provides better explanations when optimized preprocessing parameters are used. However, variations in these preprocessing parameters affect the quality of the explanation. Additionally, the results suggest no significant correlation between the complexity of the LSTM model and explanation quality, although changes in the number of layers notably influence the precision of SHAP's explanations. © 2025 The Authors","2025","2025-02-27 12:27:54","2025-02-27 12:27:54","","","","","144","","Eng Appl Artif Intell","","","","","","","","","","","","","","","Publisher: Elsevier Ltd","","/Users/jensreil/Zotero/storage/4LPPRAS8/Ndao et al. - 2025 - Improving predictive maintenance Evaluating the impact of preprocessing and model complexity on the.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2B9FJMI5","journalArticle","2024","Popov, P.; Mahmood, U.; Fu, Z.; Yang, C.; Calhoun, V.; Plis, S.","A simple but tough-to-beat baseline for fMRI time-series classification","NeuroImage","","","10.1016/j.neuroimage.2024.120909","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208492239&doi=10.1016%2fj.neuroimage.2024.120909&partnerID=40&md5=7da32b50907d756f02498b7070050dde","Current neuroimaging studies frequently use complex machine learning models to classify human fMRI data, distinguishing healthy and disordered brains, often to validate new methods or enhance prediction accuracy. Yet, where prediction accuracy is a concern, our results suggest that precision in prediction does not always require such sophistication. When a classifier as simple as logistic regression is applied to feature-engineered fMRI data, it can match or even outperform more sophisticated recent models. Classification of the raw time series fMRI data generally benefits from complex parameter-rich models. However, this complexity often pushes them into the class of black-box models. Yet, we found that a relatively simple model can consistently outperform much more complex classifiers in both accuracy and speed. This model applies the same multi-layer perceptron repeatedly across time and averages the results. Thus, the complexity and black-box nature of the parameter rich models, often perceived as a necessary trade-off for higher performance, do not invariably yield superior results on fMRI. Given the success of straightforward approaches, we challenge the merit of research that concentrates solely on complex model development driven by classification. Instead, we advocate for increased focus on designing models that prioritize the explainability of fMRI data or pursue applicable objectives beyond mere classification accuracy, unless they significantly outperform logistic regression or our proposed model. To validate our claim, we explore possible reasons for the superior performance of our straightforward model by examining the innate characteristics of fMRI time series data. Our findings suggest that the sequential information hidden in the temporal order may be far less important for the accurate fMRI classification than the stand-alone pieces of information scattered across the frames of the time series. © 2024 The Authors","2024","2025-02-27 12:27:54","2025-02-27 12:27:54","","","","","303","","NeuroImage","","","","","","","","","","","","","","","Publisher: Academic Press Inc.","","/Users/jensreil/Zotero/storage/YFRMRXUI/Popov et al. - 2024 - A simple but tough-to-beat baseline for fMRI time-series classification.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6PFC976W","journalArticle","2025","Eun Choi, J.; Won Shin, J.; Wan Shin, D.","Vector SHAP Values for Machine Learning Time Series Forecasting","J Forecast","","","10.1002/for.3220","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209816115&doi=10.1002%2ffor.3220&partnerID=40&md5=399295096f15f0ec77b0816575d5f082","We propose a new vector SHapley Additive exPlanations (SHAP) to interpret machine learning models for forecasting time series using lags of predictor variables. Unlike the standard SHAP measuring the contribution of each lag of each predictor variable, the proposed vector SHAP measures the contribution of the vector of the lags of each variable. The vector SHAP has an advantage of faster computation over the standard SHAP. Some desirable properties of the vector SHAP (vector local accuracy, vector missingness, and vector consistency) are established. A Monte Carlo simulation shows that the vector SHAP has a much faster computing time than the SHAP; the difference of the standard SHAP and the vector SHAP is small; the sampling SHAP is sensitive to the sampling proportion in a range of practical application; the vector SHAP mitigates the sensitivity issue. The vector SHAP is applied to the realized volatility of world major stock price indices of 16 countries for forecasting the realized volatility of South Korea stock price index, KOSPI. Further vectoring by regions of Europe, North America, and Asia yields vector SHAP value for each region which is very close to the sum of vector SHAP values of the countries of the region, illustrating usefulness of the strategy of vectoring. © 2024 John Wiley & Sons, Ltd.","2025","2025-02-27 12:27:54","2025-02-27 12:27:54","","635-645","","2","44","","J Forecast","","","","","","","","","","","","","","","Publisher: John Wiley and Sons Ltd","","/Users/jensreil/Zotero/storage/5LPJGJYE/Eun Choi et al. - 2025 - Vector SHAP Values for Machine Learning Time Series Forecasting.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QCFRATNW","journalArticle","2024","Hogea, E.; Onchiş, D.M.; Yan, R.; Zhou, Z.","LogicLSTM: Logically-driven long short-term memory model for fault diagnosis in gearboxes","J Manuf Syst","","","10.1016/j.jmsy.2024.10.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208119278&doi=10.1016%2fj.jmsy.2024.10.003&partnerID=40&md5=9bb07557b5d8965e1db9c3ee69e8f367","This article introduces LogicLSTM, a hybrid neuro-symbolic model obtained by logically guiding a pretrained Long Short-Term Memory (LSTM) network with the support of a customized Logic Tensor Network (LTN). The model is further optimized by explainable AI techniques, for a refined fault classification of time-series data coming from industrial gearboxes. The framework leverages the intrinsic strengths of LSTMs deep recurrent networks for temporal data processing with logical reasoning capabilities, to improve prediction accuracy and interpretability of the classification. Our approach addresses the challenges of extracting relevant data features and integrating connectionist and symbolic methodologies to form a cohesive predictive model. Results from extensive testing show that our model significantly outperforms traditional LSTM models, particularly in complex fault scenarios where conventional methods may fail. Specifically, the hybrid model demonstrates a 16.03% average improvement in accuracy over standard LSTM models under conditions of sufficient data availability, and a 8.56% improvement in scenarios where data is scarce. This research not only demonstrates the potential of hybrid models in industrial applications but also highlights the importance of explainability in AI systems for critical decision-making processes. The proposed model's ability to interpret and explain its predictions makes it a valuable tool for advancing predictive maintenance strategies within the Industry 4.0 framework. © 2024","2024","2025-02-27 12:27:54","2025-02-27 12:27:54","","892-902","","","77","","J Manuf Syst","","","","","","","","","","","","","","","Publisher: Elsevier B.V.","","/Users/jensreil/Zotero/storage/N7AZ73D4/Hogea et al. - 2024 - LogicLSTM Logically-driven long short-term memory model for fault diagnosis in gearboxes.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XJ7X59YR","journalArticle","2025","Naser, A.Z.; Naser, M.Z.","SPINEX-TimeSeries: Similarity-based predictions with explainable neighbors exploration for time series and forecasting problems","Comput Ind Eng","","","10.1016/j.cie.2024.110812","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213275523&doi=10.1016%2fj.cie.2024.110812&partnerID=40&md5=25a1df79073cddb4ddc67419e49befc3","This paper introduces a new addition to the SPINEX (Similarity-based Predictions with Explainable Neighbors Exploration) family, tailored specifically for time series and forecasting analysis. This new algorithm leverages the concept of similarity and higher-order temporal interactions across multiple time scales to enhance predictive accuracy and interpretability in forecasting. To evaluate the effectiveness of SPINEX, we present comprehensive benchmarking experiments comparing it against 18 algorithms and across 49 synthetic and real datasets characterized by varying trends, seasonality, and noise levels. Our performance assessment focused on forecasting accuracy and computational efficiency. Our findings reveal that SPINEX consistently ranks among the top 5 performers in forecasting precision and has a superior ability to handle complex temporal dynamics compared to commonly adopted algorithms. Moreover, the algorithm's explainability features, Pareto efficiency, and medium complexity (on the order of O(log n)) are demonstrated through detailed visualizations to enhance the prediction and decision-making process. We note that integrating similarity-based concepts opens new avenues for research in predictive analytics, promising more accurate and transparent decision making. © 2024 Elsevier Ltd","2025","2025-02-27 12:27:54","2025-02-27 12:27:54","","","","","200","","Comput Ind Eng","","","","","","","","","","","","","","","Publisher: Elsevier Ltd","","/Users/jensreil/Zotero/storage/UDB4F9A3/Naser and Naser - 2025 - SPINEX-TimeSeries Similarity-based predictions with explainable neighbors exploration for time seri.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W4ZAAAQL","journalArticle","2024","Je-Gal, H.; Park, Y.-S.; Park, S.-H.; Kim, J.-U.; Yang, J.-H.; Kim, S.; Lee, H.-S.","Time-Series Explanatory Fault Prediction Framework for Marine Main Engine Using Explainable Artificial Intelligence","J. Mar. Sci. Eng.","","","10.3390/jmse12081296","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202678166&doi=10.3390%2fjmse12081296&partnerID=40&md5=f810792894181328e570df0b23af70d8","As engine monitoring data has become more complex with an increasing number of sensors, fault prediction based on artificial intelligence (AI) has emerged. Existing fault prediction models using AI significantly improve the accuracy of predictions by effectively handling such complex data, but at the same time, the problem arises that the AI-based models cannot explain the rationale of their predictions to users. To address this issue, we propose a time-series explanatory fault prediction framework to provide an explainability even when using AI-based fault prediction models. It consists of a data feature reduction process, a fault prediction model training process using long short-term memory, and an interpretation process of the fault prediction model via an explainable AI method. In particular, the proposed framework can explain a fault prediction based on time-series data. Therefore, it indicates which part of the data was significant for the fault prediction not only in terms of sensor type but also in terms of time. Through extensive experiments, we evaluate the proposed framework using various fault data by comparing the prediction performance of fault prediction and by assessing how well the main pre-symptoms of the fault are extracted when predicting a fault. © 2024 by the authors.","2024","2025-02-27 12:27:54","2025-02-27 12:27:54","","","","8","12","","J. Mar. Sci. Eng.","","","","","","","","","","","","","","","Publisher: Multidisciplinary Digital Publishing Institute (MDPI)","","/Users/jensreil/Zotero/storage/NYJBSQ76/Je-Gal et al. - 2024 - Time-Series Explanatory Fault Prediction Framework for Marine Main Engine Using Explainable Artifici.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"844EAGYR","journalArticle","2025","Najjar, H.; Miranda, M.; Nuske, M.; Roscher, R.; Dengel, A.","Explainability of Subfield Level Crop Yield  Prediction Using Remote Sensing","IEEE J. Sel. Top. Appl. Earth Obs. Remote Sens.","","","10.1109/JSTARS.2025.3528068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214820612&doi=10.1109%2fJSTARS.2025.3528068&partnerID=40&md5=694a47be4e54e04264b2f60208d6fea7","Crop yield forecasting plays a significant role in addressing growing concerns about food security and guiding decision-making for policymakers and farmers. When deep learning is employed, understanding the learning and decision-making processes of the models, as well as their interaction with the input data, is crucial for establishing trust in the models and gaining insight into their reliability. In this study, we focus on the task of crop yield prediction, specifically for soybean, wheat, and rapeseed crops in Argentina, Uruguay, and Germany. Our goal is to develop and explain predictive models for these crops, using a large dataset of satellite images, additional data modalities, and crop yield maps. We employ a long short-term memory network and investigate the impact of using different temporal samplings of the satellite data and the benefit of adding more relevant modalities. For model explainability, we utilize feature attribution methods to quantify input feature contributions, identify critical growth stages, analyze yield variability at the field level, and explain less accurate predictions. The modeling results show an improvement when adding more modalities or using all available instances of satellite data. The explainability results reveal distinct feature importance patterns for each crop and region. We further found that the most influential growth stages on the prediction are dependent on the temporal sampling of the input data. We demonstrated how these critical growth stages, which hold significant agronomic value, closely align with the existing literature in agronomy and crop development biology.  © 2008-2012 IEEE.","2025","2025-02-27 12:27:54","2025-08-25 09:47:44","","4141-4161","","","18","","IEEE J. Sel. Top. Appl. Earth Obs. Remote Sens.","","","","","","","","","","","","","","","Publisher: Institute of Electrical and Electronics Engineers Inc.","","/Users/jensreil/Zotero/storage/BRNHX9W6/Najjar et al. - 2025 - Explainability of Subfield Level Crop Yield Prediction Using Remote Sensing.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BCW9Z5AD","journalArticle","2024","Mehraj Misgar, M.; Bhatia, M.P.S.","Unveiling psychotic disorder patterns: A deep learning model analysing motor activity time-series data with explainable AI","Biomed. Signal Process. Control","","","10.1016/j.bspc.2024.106000","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185480380&doi=10.1016%2fj.bspc.2024.106000&partnerID=40&md5=8ed1e16f66400cce7785c8301d1f2620","Deep Learning (DL) holds immense potential in revolutionizing healthcare, offering robust support to clinicians and enhancing patient care. However, coming up with the right DL model is always challenging and depends on quality, quantity, and type of data. In this paper, two motor activity datasets are utilized: “Depresjon” dataset includes activity recordings from 32 healthy individuals (402 days) and 23 individuals with unipolar and bipolar depression (291 days) and the “Psykose” dataset consists of 22 schizophrenia subjects (285 days) and 32 healthy subjects (402 days). The motor activity data, represented as time-series signals, poses challenges due to variable lengths and non-uniform starting timestamps for each subject. Additionally, the daytime and nighttime distributions differ across samples, requiring explicit handling for Convolutional Neural Network models. To address this issue, a multi-branch DL architecture is employed with one branch fed with nighttime data and another with daytime data, capable of capturing features across various scales, accommodating patterns of different sizes. Moreover, the combined outputs of these branches are subjected to a self-attention-mechanism (MultiHeadAttention), which prioritizes essential features. The use of Gradient weighted Class Activation Map (Grad-CAM) technique aids in comprehending the model's decision-making process. The benchmark datasets were used to validate the model, which exhibited an accuracy of 0.94 for both classifying depressive and schizophrenic episodes from control subjects. An accuracy of 0.81 for classifying depressive episodes, and schizophrenics from control samples. This accuracy further increases when combining the control samples from both datasets, to 0.97 for depression and 0.98 for schizophrenia. © 2024 Elsevier Ltd","2024","2025-02-27 12:27:54","2025-02-27 12:27:54","","","","","91","","Biomed. Signal Process. Control","","","","","","","","","","","","","","","Publisher: Elsevier Ltd","","/Users/jensreil/Zotero/storage/D7Y3FTBP/Mehraj Misgar and Bhatia - 2024 - Unveiling psychotic disorder patterns A deep learning model analysing motor activity time-series da.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
