agent,generator,run_id,total_steps,start_value,final_cumulative_reward,average_reward
Static Mean Reversion Agent,Markov Regime-Switching Generator,002,100,0.0,-60,-0.6
Static Mean Reversion Agent,Noisy Markov Regime-Switching Generator,001,100,0.0,-8,-0.08
Static Mean Reversion Agent,Noisy Markov Regime-Switching Generator,002,100,0.0,-8,-0.08
Static Mean Reversion Agent,Ornstein-Uhlenbeck Generator,001,100,0.0,-18,-0.18
Static Mean Reversion Agent,Ornstein-Uhlenbeck Generator,002,100,0.0,-16,-0.16
Static Mean Reversion Agent,Periodic Trend Generator,001,100,0.0,-18,-0.18
Static Mean Reversion Agent,Periodic Trend Generator,002,100,0.0,-18,-0.18
Static Mean Reversion Agent,Random Walk Generator,001,100,0.0,4,0.04
Static Mean Reversion Agent,Random Walk Generator,002,100,0.0,4,0.04
Static Mean Reversion Agent,Real World Asset Price Generator,001,100,0.0,-16,-0.16
Static Mean Reversion Agent,Real World Asset Price Generator,002,100,0.0,-16,-0.16
